Especies,Parametro,Estimador,SE,Distancia,p,AICc
BLANQUILLO,(Intercept),0.9732322840155865,NA,30,NA,60.102976679303254
BLANQUILLO,Matorrales,-1.4557956290784184,NA,30,NA,60.102976679303254
BLANQUILLO,Sup_impermeables,-0.033229936459225014,NA,30,NA,60.102976679303254
CHERCAN,(Intercept),-0.7704419924312872,NA,30,NA,66.77895976975044
CHINCOL,(Intercept),3.57854044521545,NA,30,NA,68.91139838458756
CHURRETE_CHICO,(Intercept),-2.3943374017733903,NA,30,NA,32.780292841914495
CHURRETE_CHICO,Rocas,1.0704929365084912,NA,30,NA,32.780292841914495
CHURRETE_COMUN,(Intercept),-0.6879316379476722,NA,30,NA,38.07444082734976
CHURRETE_COMUN,Suelo_arenoso,-2.323746183912254,NA,30,NA,38.07444082734976
CHURRETE_COSTERO,(Intercept),-1.7176054129715694,NA,30,NA,47.40030061165419
CHURRETE_COSTERO,Grava,1.066797054034517,NA,30,NA,47.40030061165419
COLEGIAL,(Intercept),-14.315470907637007,NA,30,NA,20.877086732122592
COLEGIAL,Suelo_arenoso,0.28603902444061796,NA,30,NA,20.877086732122592
CORMORAN,(Intercept),0.21883751833394258,NA,30,NA,102.06096730310796
CORMORAN,Oceano,1.7711825390435727,NA,30,NA,102.06096730310796
COTORRA_ARGENTINA,(Intercept),-17.05482138544865,NA,30,NA,9.290457382764451
COTORRA_ARGENTINA,Grava,1.492406770506946,NA,30,NA,9.290457382764451
DIUCA,(Intercept),-22.812863436948764,NA,30,NA,9.368335854970626
DIUCA,Pastizales,1.0970038147919907,NA,30,NA,9.368335854970626
GAVIOTA_FRANKLIN,(Intercept),-2.1986854004501195,NA,30,NA,25.420313582008156
GAVIOTA_GARUMA,(Intercept),-0.3901471034876929,NA,30,NA,100.30264928113365
GAVIOTA_GARUMA,Suelo_arenoso,0.03270491737057181,NA,30,NA,100.30264928113365
GAVIOTA,(Intercept),2289.330905425609,NA,30,NA,6.75
GOLONDRINA_CHILENA,(Intercept),-1.0730905575119232,NA,30,NA,72.31182845509984
GOLONDRINA_DORSO_NEGRO,(Intercept),-25.752377761524922,NA,30,NA,14.098296837542396
GOLONDRINA_DORSO_NEGRO,Suelo_arenoso,0.5215058445477635,NA,30,NA,14.098296837542396
GORRION,(Intercept),-3.6653741646629077,NA,30,NA,38.893225973753694
GORRION,Sup_impermeables,0.02846169236788485,NA,30,NA,38.893225973753694
GUANAY,(Intercept),-17.79077132601636,NA,30,NA,14.772809337218693
GUANAY,Rocas,1.725981675322783,NA,30,NA,14.772809337218693
HUAIRAVO,(Intercept),-24.304537351627726,NA,30,NA,9.290322582187772
HUAIRAVO,Suelo_arenoso,-233.5721264838628,NA,30,NA,9.290322582187772
HUAIRAVO,Rocas,15.296183451509298,NA,30,NA,9.290322582187772
JOTE_CABEZA_NEGRA,(Intercept),9.464621908113974,NA,30,NA,42.805894974275844
JOTE_CABEZA_NEGRA,Suelo_arenoso,-41.70441407846725,NA,30,NA,42.805894974275844
JOTE_CABEZA_ROJA,(Intercept),-15.61452573045621,NA,30,NA,15.10533743036848
JOTE_CABEZA_ROJA,Sup_impermeables,0.17380088234740038,NA,30,NA,15.10533743036848
LILE,(Intercept),-35.20862651483674,NA,30,NA,13.038665833128633
LILE,Pastizales,1.1868453864846054,NA,30,NA,13.038665833128633
MIRLO,(Intercept),-37.21592280670543,NA,30,NA,15.172965153019062
MIRLO,Pastizales,1.116469613981975,NA,30,NA,15.172965153019062
GAVIOTIN_MONJA,(Intercept),-1.1534087504914963,NA,30,NA,60.30007038467845
PALOMA,(Intercept),2.691088951355961,NA,30,NA,111.10597371199563
PALOMA,Matorrales,-0.0394045746129309,NA,30,NA,111.10597371199563
PALOMA,Oceano,-0.03595307742730377,NA,30,NA,111.10597371199563
PELICANO,(Intercept),1.8149174772144419,NA,30,NA,102.17205747803048
PELICANO,Pastizales,-0.07771588112957206,NA,30,NA,102.17205747803048
PELICANO,Sup_impermeables,-0.02802498183713025,NA,30,NA,102.17205747803048
PERRITO,(Intercept),-25.752377761524922,NA,30,NA,14.098296837542396
PERRITO,Suelo_arenoso,0.5215058445477635,NA,30,NA,14.098296837542396
PILPILEN,(Intercept),41.67256099503521,NA,30,NA,15.516254672310609
PILPILEN,Grava,-2.499223949516761,NA,30,NA,15.516254672310609
PILPILEN_NEGRO,(Intercept),-22.466993785115925,NA,30,NA,32.345782835760254
PILPILEN_NEGRO,Suelo_arenoso,0.44793141119556357,NA,30,NA,32.345782835760254
PILPILEN_NEGRO,Rocas,2.5181402348654456,NA,30,NA,32.345782835760254
PIQUERO,(Intercept),1.420762486292173,NA,30,NA,63.489613522055336
PIQUERO,Pastizales,-1.7431596124847184,NA,30,NA,63.489613522055336
PIQUERO,Sup_impermeables,-0.03243110169680006,NA,30,NA,63.489613522055336
QUELTEHUE,(Intercept),-0.16303848075770827,NA,30,NA,95.61639703955609
QUELTEHUE,Grava,-0.48380395818693006,NA,30,NA,95.61639703955609
RARA,(Intercept),-13.801751574061981,NA,30,NA,9.53846154616756
TAGUA_COMUN,(Intercept),-32.00301415550667,NA,30,NA,9.522753275718806
TAGUA_COMUN,Suelo_arenoso,0.3200290250834794,NA,30,NA,9.522753275718806
TENCA,(Intercept),-0.26125624322774654,NA,30,NA,31.33848370345692
TENCA,Sup_impermeables,-0.06886656365512786,NA,30,NA,31.33848370345692
TIUQUE,(Intercept),0.8662640574704719,NA,30,NA,86.86411471015626
TIUQUE,Grava,-0.36405758643982894,NA,30,NA,86.86411471015626
