Nombre,Especie,SpecID,PassNonPass,IOCOrder,BLFamilyLatin,BLFamilyEnglish,BLFamSequID,Taxo,English,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-5Cat,Diet-Source,Diet-Certainty,Diet-EnteredBy,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,ForStrat-Source,ForStrat-SpecLevel,ForStrat-EnteredBy,Nocturnal,BodyMass-Value,BodyMass-Source,BodyMass-SpecLevel,BodyMass-Comment,Record-Comment
HUAIRAVO,Nycticorax nycticorax,5182,Nonpasseriformes,Pelecaniformes,Ardeidae,Herons and egrets,25,BL3,Black-crowned Night-heron,30,20,30,20,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,0,50,50,0,0,0,0,0,Ref_1,1,Jessica,0,810,Dunning08,1,NA,NA
GORRION,Passer domesticus,11753,Passeriformes,Passeriformes,Passeridae,"Sparrows, snowfinches and allies",183,BL3,House Sparrow,10,0,0,0,0,0,0,0,60,30,PlantSeed,Ref_14,A,Carolina,0,0,50,50,0,0,0,0,Ref_27,1,Jessica,0,26.51,Dunning08,1,NA,NA
PELICANO COMÚN,Pelecanus thagus,19925,Nonpasseriformes,Pelecaniformes,Pelecanidae,Pelicans,30,BL3,Peruvian Pelican,10,0,0,80,0,10,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,0,3427.84,Dunning08,1,NA,NA
GUANAY,Phalacrocorax bougainvillii,5100,Nonpasseriformes,Suliformes,Phalacrocoracidae,Cormorants,32,BL3,Guanay Cormorant,0,0,0,100,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,100,0,0,0,0,0,0,1,Ref_1,1,Jessica,0,2485,Dunning08,1,NA,NA
CORMORAN,Phalacrocorax brasilianus,5089,Nonpasseriformes,Suliformes,Phalacrocoracidae,Cormorants,32,BL3,Neotropic Cormorant,30,0,20,50,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,100,0,0,0,0,0,0,0,Ref_1,1,Jessica,0,1239.29,Dunning08,1,NA,NA
LILE,Phalacrocorax gaimardi,5118,Nonpasseriformes,Suliformes,Phalacrocoracidae,Cormorants,32,BL3,Red-legged Cormorant,0,0,0,100,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,100,0,0,0,0,0,0,1,Ref_1,1,Jessica,0,1358.34,Dunning08,1,NA,NA
RARA,Phytotoma rara,6270,Passeriformes,Passeriformes,Cotingidae,Cotingas,104,BL3,Rufous-tailed Plantcutter,10,0,0,0,0,0,10,0,0,80,PlantSeed,Ref_9,A,Carolina,0,0,40,30,30,0,0,0,Ref_9,1,Jessica,0,47,Dunning08,1,NA,NA
BLANQUILLO,Podiceps occipitalis,5018,Nonpasseriformes,Podicipediformes,Podicipedidae,Grebes,21,BL3,Silvery Grebe,90,0,0,10,0,0,0,0,0,0,Invertebrate,Ref_1,A,Jennifer,50,50,0,0,0,0,0,0,Ref_1,1,Jessica,0,320.69,Dunning08,1,NA,NA
GOLONDRINA DORSO NEGRO,Pygochelidon cyanoleuca,10021,Passeriformes,Passeriformes,Hirundinidae,Swallows and martins,156,BL3,Blue-and-white Swallow,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_9,A,Carolina,0,0,0,0,100,0,0,0,Ref_9,1,Jessica,0,9.7,Dunning08,1,NA,NA
PIQUERO,Sula variegata,5058,Nonpasseriformes,Suliformes,Sulidae,Gannets and boobies,31,BL3,Peruvian Booby,0,0,0,100,0,0,0,0,0,0,VertFishScav,Ref_1,A,Jennifer,100,0,0,0,0,0,0,1,Ref_1,1,Jessica,0,1432.48,Dunning08,1,NA,NA
GOLONDRINA CHILENA,Tachycineta meyeni,9998,Passeriformes,Passeriformes,Hirundinidae,Swallows and martins,156,BL3,Chilean Swallow,100,0,0,0,0,0,0,0,0,0,Invertebrate,Ref_9,A,Carolina,0,0,0,80,20,0,0,0,Ref_9,1,Jessica,0,14.9,Dunning08,1,NA,NA
CHERCAN,Troglodytes aedon,9753,Passeriformes,Passeriformes,Troglodytidae,Wrens,162,BL3,House Wren,80,0,0,0,0,0,0,0,0,20,Invertebrate,Ref_10,A,Carolina,0,0,0,100,0,0,0,0,Ref_10,1,Jessica,0,10.85,Dunning08,1,NA,NA
ZORZAL,Turdus falcklandii,8986,Passeriformes,Passeriformes,Turdidae,Thrushes,178,BL3,Austral Thrush,50,0,0,0,0,0,50,0,0,0,Omnivore,Ref_10,A,Carolina,0,0,100,0,0,0,0,0,Ref_10,1,Jessica,0,93.89,Dunning08,1,NA,NA
QUELTEHUE,Vanellus chilensis,4308,Nonpasseriformes,Charadriiformes,Charadriidae,Plovers,54,BL3,Southern Lapwing,90,0,0,10,0,0,0,0,0,0,Invertebrate,Ref_3,A,Carolina,0,20,80,0,0,0,0,0,Ref_3,1,Jessica,0,327,Dunning08,1,NA,NA
TORTOLA,Zenaida auriculata,3441,Nonpasseriformes,Columbiformes,Columbidae,Doves and pigeons,65,BL3,Eared Dove,0,0,0,0,0,0,0,0,100,0,PlantSeed,Ref_4,A,Carolina,0,0,20,20,40,20,0,0,Ref_4,1,Jessica,0,110.2,Dunning08,1,NA,NA
CHINCOL,Zonotrichia capensis,12522,Passeriformes,Passeriformes,Emberizidae,"Buntings, American sparrows and allies",192,BL3,Rufous-collared Sparrow,30,0,0,0,0,0,0,0,50,20,PlantSeed,Ref_24,A,Jennifer,0,0,100,0,0,0,0,0,Ref_31,1,Christian,0,20.31,Dunning08,1,NA,NA
